Rang	Ort	Kanton	Steuersatz
262	Unterlunkhofen	AG	11.46
263	Vezia	TI	11.46
264	Vico Morcote	TI	11.46
265	Affoltern am Albis	ZH	11.47
266	Giswil	OW	11.48
267	Eschenbach (LU)	LU	11.50
268	Maschwanden	ZH	11.52
269	Oberstammheim	ZH	11.52
270	Schlatt (ZH)	ZH	11.52
271	Truttikon	ZH	11.52
272	Unterstammheim	ZH	11.52
273	Weggis	LU	11.52
274	Göschenen	UR	11.53
275	Neunforn	TG	11.54
276	Horw	LU	11.56
277	Winterthur	ZH	11.57
278	Seelisberg	UR	11.59
279	Conters im Prättigau	GR	11.60
280	Teufen (AR)	AR	11.60
281	Bachs	ZH	11.62
282	La Punt-Chamues-ch	GR	11.62
283	Horn	TG	11.63
284	Dietikon	ZH	11.66
285	Wildberg	ZH	11.66
286	Andermatt	UR	11.68
287	Münsterlingen	TG	11.68
288	Warth-Weiningen	TG	11.68
289	Schwende	AI	11.70
290	Rheinau	ZH	11.71
291	Ballwil	LU	11.72
292	Medel (Lucmagn)	GR	11.72
293	Hirzel	ZH	11.76
294	Oberkirch	LU	11.76
295	Ossingen	ZH	11.76
296	Waltalingen	ZH	11.76
297	Sils im Engadin/Segl	GR	11.78
298	Comano	TI	11.79
299	Grancia	TI	11.79
300	Magliaso	TI	11.79
301	Melide	TI	11.79
302	Mendrisio	TI	11.79
303	Monteggio	TI	11.79
304	Muzzano	TI	11.79
305	Novazzano	TI	11.79
306	Origlio	TI	11.79
307	Ronco sopra Ascona	TI	11.79
308	Savosa	TI	11.79
309	Spiringen	UR	11.79
310	Arni (AG)	AG	11.80
311	Kaiseraugst	AG	11.80
312	Villigen	AG	11.80
313	Lungern	OW	11.81
314	Oberrohrdorf	AG	11.86
315	Vitznau	LU	11.89
316	Wassen	UR	11.89
317	Bergdietikon	AG	11.91
318	Dürrenäsch	AG	11.91
319	Falera	GR	11.91
320	Ferrera	GR	11.91
321	Stetten (SH)	SH	11.91
322	Widen	AG	11.91
323	Zillis-Reischen	GR	11.91
324	Fischenthal	ZH	11.95
325	Hofstetten (ZH)	ZH	11.95
326	Sisikon	UR	11.95
327	Habsburg	AG	11.97
328	Minusio	TI	11.99
329	Vergeletto	TI	11.99
330	Hütten	ZH	12.00
331	Rifferswil	ZH	12.00
332	Bever	GR	12.03
333	Feldbrunnen-St. Niklaus	SO	12.03
334	Gisikon	LU	12.03
335	Hinterrhein	GR	12.03
336	Gurtnellen	UR	12.04
337	Wolfenschiessen	NW	12.07
338	Oberegg	AI	12.09
339	Glarus Nord	GL	12.10
340	Isenthal	UR	12.10
341	Madulain	GR	12.10
342	Mörschwil	SG	12.10
343	Zuoz	GR	12.10
344	Brione sopra Minusio	TI	12.13
345	Brissago	TI	12.13
346	Castel San Pietro	TI	12.13
347	Coldrerio	TI	12.13
348	Croglio	TI	12.13
349	Glarus	GL	12.13
350	Gravesano	TI	12.13
351	Lugano	TI	12.13
